ErrDBDriverError,[10001:database:not-set:high],"database driver error"
ErrDBBadConn,[10002:database:not-set:medium],"database driver"
ErrDBInvalidConn,[10003:database:not-set:medium],"database driver"
ErrDBUnExpect,[10004:database:not-set:medium],"unexpect database error: %s"
ErrDBQueryFailed,[10005:database:not-set:high],"query statement failed: %s"
ErrDBExecuteFailed,[10006:database:not-set:high],"execute statement failed: %s"
ErrParseMydumperMeta,[11007:functional:internal:high],"parse mydumper metadata error: %s"
ErrGetFileSize,[11008:functional:internal:high],"get file %s size"
ErrDropMultipleTables,[11009:functional:internal:high],"not allowed operation: drop multiple tables in one statement"
ErrRenameMultipleTables,[11010:functional:internal:high],"not allowed operation: rename multiple tables in one statement"
ErrAlterMultipleTables,[11011:functional:internal:high],"not allowed operation: alter multiple tables in one statement"
ErrParseSQL,[11012:functional:internal:high],"parse statement"
ErrUnknownTypeDDL,[11013:functional:internal:high],"unknown type ddl %s"
ErrRestoreASTNode,[11014:functional:internal:high],"restore ast node"
ErrParseGTID,[11015:functional:internal:high],"parse GTID %s"
ErrNotSupportedFlavor,[11016:functional:internal:high],"flavor %s not supported"
ErrNotMySQLGTID,[11017:functional:internal:high],"%s is not mysql GTID set"
ErrNotMariaDBGTID,[11018:functional:internal:high],"%s is not mariadb GTID set"
ErrNotUUIDString,[11019:functional:internal:high],"%v is not UUID string"
ErrMariaDBDomainID,[11020:functional:internal:high],"%v is not uint32"
ErrInvalidServerID,[11021:functional:internal:high],"invalid server id %s"
ErrGetSQLModeFromStr,[11022:functional:internal:high],"get sql from from string literal"
ErrVerifySQLOperateArgs,[11023:functional:internal:low],""
ErrStatFileSize,[11024:functional:internal:high],"get file statfs"
ErrReaderAlreadyRunning,[11025:functional:internal:high],"binlog reader is already running"
ErrReaderStateCannotClose,[11026:functional:internal:high],"stage %s, expect %s, can not close"
ErrReaderShouldStartSync,[11027:functional:internal:high],"stage %s, expect %s, please start sync first"
ErrEmptyRelayDir,[11028:functional:internal:high],"empty relay dir"
ErrReadDir,[11029:functional:internal:high],"read dir: %s"
ErrBaseFileNotFound,[11030:functional:internal:high],"base file %s in directory %s not found"
ErrBinFileCmpCondNotSupport,[11031:functional:internal:high],"cmp condition %v not supported"
ErrBinlogFileNotValid,[11032:functional:internal:high],"binlog file %s not valid"
ErrBinlogFilesNotFound,[11033:functional:internal:high],"binlog files in dir %s not found"
ErrGetRelayLogStat,[11034:functional:internal:high],"get stat for relay log %s"
ErrAddWatchForRelayLogDir,[11035:functional:internal:high],"add watch for relay log dir %s"
ErrWatcherStart,[11036:functional:internal:high],"watcher starts for relay log dir %s"
ErrWatcherChanClosed,[11037:functional:internal:high],"watcher's %s chan for relay log dir %s closed"
ErrWatcherChanRecvError,[11038:functional:internal:high],"watcher receives error, relay log dir %s"
ErrRelayLogFileSizeSmaller,[11039:functional:internal:high],"file size of relay log %s become smaller"
ErrBinlogFileNotSpecified,[11040:functional:internal:high],"binlog file must be specified"
ErrNoRelayLogMatchPos,[11041:functional:internal:high],"no relay log files in dir %s match pos %s"
ErrFirstRelayLogNotMatchPos,[11042:functional:internal:high],"the first relay log %s not match the start pos %v"
ErrParserParseRelayLog,[11043:functional:internal:high],"parse relay log file %s"
ErrNoSubdirToSwitch,[11044:functional:internal:high],"parse for previous sub relay directory finished, but no next sub directory need to switch not supported"
ErrNeedSyncAgain,[11045:functional:internal:high],"Last sync error or closed, try sync and get event again"
ErrSyncClosed,[11046:functional:internal:high],"Sync was closed"
ErrSchemaTableNameNotValid,[11047:functional:internal:high],"table name %s not valid"
ErrGenTableRouter,[11048:functional:internal:high],"generate table router"
ErrEncryptSecretKeyNotValid,[11049:functional:internal:high],"key size should be 16, 24 or 32, but input key's size is %d"
ErrEncryptNewCipher,[11050:functional:internal:high],"new cipher"
ErrEncryptGenIV,[11051:functional:internal:high],"generate iv"
ErrCiphertextLenNotValid,[11052:functional:internal:high],"ciphertext's length should be greater than %d, but got %d not valid"
ErrCiphertextContextNotValid,[11053:functional:internal:high],"ciphertext's content not valid"
ErrInvalidBinlogPosStr,[11054:functional:internal:high],"invalid mysql position string: %s"
ErrEncCipherTextBase64Decode,[11055:functional:internal:high],"decode base64 encoded password %s"
ErrBinlogWriteBinaryData,[11056:functional:internal:high],""
ErrBinlogWriteDataToBuffer,[11057:functional:internal:high],""
ErrBinlogHeaderLengthNotValid,[11058:functional:internal:high],"header length should be %d, but got %d not valid"
ErrBinlogEventDecode,[11059:functional:internal:high],"decode % X"
ErrBinlogEmptyNextBinName,[11060:functional:internal:high],"empty next binlog name not valid"
ErrBinlogParseSID,[11061:functional:internal:high],""
ErrBinlogEmptyGTID,[11062:functional:internal:high],"empty GTID set not valid"
ErrBinlogGTIDSetNotValid,[11063:functional:internal:high],"GTID set %s with flavor %s not valid"
ErrBinlogGTIDMySQLNotValid,[11064:functional:internal:high],"GTID set string %s for MySQL not valid"
ErrBinlogGTIDMariaDBNotValid,[11065:functional:internal:high],"GTID set string %s for MariaDB not valid"
ErrBinlogMariaDBServerIDMismatch,[11066:functional:internal:high],"server_id mismatch, in GTID (%d), in event header/server_id (%d)"
ErrBinlogOnlyOneGTIDSupport,[11067:functional:internal:high],"only one GTID in set is supported, but got %d (%s)"
ErrBinlogOnlyOneIntervalInUUID,[11068:functional:internal:high],"only one Interval in UUIDSet is supported, but got %d (%s)"
ErrBinlogIntervalValueNotValid,[11069:functional:internal:high],"Interval's Stop should equal to Start+1, but got %+v (%s)"
ErrBinlogEmptyQuery,[11070:functional:internal:high],"empty query not valid"
ErrBinlogTableMapEvNotValid,[11071:functional:internal:high],"empty schema (% X) or table (% X) or column type (% X)"
ErrBinlogExpectFormatDescEv,[11072:functional:internal:high],"expect FormatDescriptionEvent, but got %+v"
ErrBinlogExpectTableMapEv,[11073:functional:internal:high],"expect TableMapEvent, but got %+v"
ErrBinlogExpectRowsEv,[11074:functional:internal:high],"expect event with type (%d), but got %+v"
ErrBinlogUnexpectedEv,[11075:functional:internal:high],"unexpected event %+v"
ErrBinlogParseSingleEv,[11076:functional:internal:high],""
ErrBinlogEventTypeNotValid,[11077:functional:internal:high],"event type %d not valid"
ErrBinlogEventNoRows,[11078:functional:internal:high],"no rows not valid"
ErrBinlogEventNoColumns,[11079:functional:internal:high],"no columns not valid"
ErrBinlogEventRowLengthNotEq,[11080:functional:internal:high],"length of row (%d) not equal to length of column-type (%d)"
ErrBinlogColumnTypeNotSupport,[11081:functional:internal:high],"column type %d in binlog not supported"
ErrBinlogGoMySQLTypeNotSupport,[11082:functional:internal:high],"go-mysql type %d in event generator not supported"
ErrBinlogColumnTypeMisMatch,[11083:functional:internal:high],"value %+v (type %v) with column type %v not valid"
ErrBinlogDummyEvSizeTooSmall,[11084:functional:internal:high],"required dummy event size (%d) is too small, the minimum supported size is %d"
ErrBinlogFlavorNotSupport,[11085:functional:internal:high],"flavor %s not supported"
ErrBinlogDMLEmptyData,[11086:functional:internal:high],"empty data not valid"
ErrBinlogLatestGTIDNotInPrev,[11087:functional:internal:high],"latest GTID %s is not one of the latest previousGTIDs %s not valid"
ErrBinlogReadFileByGTID,[11088:functional:internal:high],"read from file by GTID not supported"
ErrBinlogWriterNotStateNew,[11089:functional:internal:high],"stage %s, expect %s, already started"
ErrBinlogWriterStateCannotClose,[11090:functional:internal:high],"stage %s, expect %s, can not close"
ErrBinlogWriterNeedStart,[11091:functional:internal:high],"stage %s, expect %s, please start the writer first"
ErrBinlogWriterOpenFile,[11092:functional:internal:high],"open file"
ErrBinlogWriterGetFileStat,[11093:functional:internal:high],"get stat for %s"
ErrBinlogWriterWriteDataLen,[11094:functional:internal:high],"data length %d"
ErrBinlogWriterFileNotOpened,[11095:functional:internal:high],"file %s not opened"
ErrBinlogWriterFileSync,[11096:functional:internal:high],"sync file"
ErrBinlogPrevGTIDEvNotValid,[11097:functional:internal:high],"PreviousGTIDsEvent should be a GenericEvent in go-mysql, but got %T"
ErrBinlogDecodeMySQLGTIDSet,[11098:functional:internal:high],"decode from % X"
ErrBinlogNeedMariaDBGTIDSet,[11099:functional:internal:high],"the event should be a MariadbGTIDListEvent, but got %T"
ErrBinlogParseMariaDBGTIDSet,[11100:functional:internal:high],"parse MariaDB GTID set"
ErrBinlogMariaDBAddGTIDSet,[11101:functional:internal:high],"add set %v to GTID set"
ErrTracingEventDataNotValid,[11102:functional:internal:high],"invalid event data for type: %s"
ErrTracingUploadData,[11103:functional:internal:high],"upload event"
ErrTracingEventTypeNotValid,[11104:functional:internal:high],"invalid event type %s, will not process"
ErrTracingGetTraceCode,[11105:functional:internal:high],"failed to get code information from runtime.Caller"
ErrTracingDataChecksum,[11106:functional:internal:high],"calc data checksum"
ErrTracingGetTSO,[11107:functional:internal:high],"get tso"
ErrConfigCheckItemNotSupport,[20108:config:internal:medium],"checking item %s is not supported\n%s"
ErrConfigTomlTransform,[20109:config:internal:medium],"%s"
ErrConfigTaskYamlTransform,[20110:config:internal:medium],"%s"
ErrConfigTaskNameEmpty,[20111:config:internal:medium],"task name should not be empty"
ErrConfigEmptySourceID,[20112:config:internal:medium],"empty source-id not valid"
ErrConfigTooLongSourceID,[20113:config:internal:medium],"too long source-id not valid"
ErrConfigOnlineSchemeNotSupport,[20114:config:internal:medium],"online scheme %s not supported"
ErrConfigInvalidTimezone,[20115:config:internal:medium],"invalid timezone string: %s"
ErrConfigParseFlagSet,[20116:config:internal:medium],"parse subtask config flag set"
ErrConfigDecryptDBPassword,[20117:config:internal:medium],"decrypt DB password %s failed"
